Job Title,Company Name,Job Location,Salary,Applying Method,Job Type,Job link
WFM Officer (Excel Expert),Business Line,Lahore,"From Rs 60,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=aa11dba11992bfd9&from=hp&tk=1j65aj39c25dv0lu&bb=q_lNc_pV4KRZorFaTJr_K21LcvgVk3jggz_xaijNeJXJEXDbomr5pJ0ohHTL-botu1Gmkfwmwmmr-h3xfG0kxrRsQyXKMXsGGJUxXizQtPj8B9_Xy1-VCp1SEQsnMFMOFKRQeXlYYEM%3D&xkcb=SoBe67M3sFdDr0TDUJ0PbzkdCdPP
Business Analyst,Bitrupt,Karachi,"Rs 50,000 - Rs 80,000 a month",Easily apply,Full-time,https://pk.indeed.com/rc/clk?jk=5aee6032370a4fbb&from=hp&tk=1j65aj39c25dv0lu&bb=q_lNc_pV4KT7SSBT81UAfQjcDbQDOhnocDwhnHHKFpQHyAbesXGm_pCvfI_R9Kyc5PJsgemM3vWppqxOEKVfCCgVcL8BQnEvZRz0rpzzhLfUTcTKEcLIb1Mtyv_9vSbCIoxBV49WYa8%3D&xkcb=SoAq67M3sFdDr0TDUJ0DbzkdCdPP
Virtual Assistant,Hashtag Media,Islamabad,"Rs 40,000 - Rs 50,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=8e54cfa38e7b0c2e&from=hp&tk=1j65aj39c25dv0lu&bb=q_lNc_pV4KS3HYg0R5wuvlNgxIanRjwBMa5afEJGBgNqm-gZ9bugOQYgvj56iLuaGfNdBNz7_FiJGkHzgct_wBeLPwDYk1TB-D6S-YC0pn-ZCDKZt6aHrseGzqPRyrtpIdX8bRa3oLI%3D&xkcb=SoA567M3sFdDr0TDUJ0HbzkdCdPP
Supply Chain Analyst,Incotec Industries,Lahore,"Rs 70,000 - Rs 100,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=8b845a3bb9b8b268&from=hp&tk=1j65aj39c25dv0lu&bb=q_lNc_pV4KQvqj9DQI7y7B8mPWE54siK5R-PMjE0CkMUwBreA_vgk0UXNRmZ96bZTUrDK35f6l3CpZEdMTudPM41DB8oIrcylYH7U94p8Gz0HT0jiVSmUJ_WWrIdvBc9XDwy7djcdzc%3D&xkcb=SoCD67M3sFdDr0TDUJ0bbzkdCdPP
Business Analyst,King Revolution Inc,Lahore Ismail Nagar,Full-time,Easily apply,,https://pk.indeed.com/rc/clk?jk=7bcd0eba067a81aa&from=hp&tk=1j65aj39c25dv0lu&bb=q_lNc_pV4KSNs60lz4IiHANNstaZj705i29GOE-fg4wb58OFyl5dT5_8kYiD13a0bIKk4T1N1ewrB9uqcolGt6P1T1RcB6mjsMDOtu6Pb8qz2fBHGF6bgB741jUYbu8ywcembrAbatU%3D&xkcb=SoCQ67M3sFdDr0TDUJ0fbzkdCdPP
Data Analyst,WEBDOC,Rawalpindi,,Easily apply,,https://pk.indeed.com/rc/clk?jk=2019c2ce7a10c0c9&from=hp&tk=1j65aj39c25dv0lu&bb=q_lNc_pV4KQBuk9uES87ZpqM2nxDnClAbbacSGT-zgUlG5sDXuhACdYgQCLCXDBTv7dZjD-K-M9KD72kx5dkRhwsn9ZzYsEbp1AiSH1rXm9UowWcoqIJ8WCsm_RHfhO44Jsl9kLDFJE%3D&xkcb=SoDk67M3sFdDr0TDUJ0TbzkdCdPP
Data Researcher,Ocudi Shipping,Karachi,,Easily apply,,https://pk.indeed.com/rc/clk?jk=43be9ab73cb8f0e8&from=hp&tk=1j65aj39c25dv0lu&bb=q_lNc_pV4KQUMtjXycAsqbNilYZSqQ4tM4i-SHHqKsg-Jfg6xaWpne-uXrRubGHtuRAeiJfBtd0hPypjButFA_Qjhcu2Ck1oCAs3XjFrO8M9tciFvKtIYWi1rwMEA7QPYeZxI7bFpew%3D&xkcb=SoD367M3sFdDr0TDUJ0XbzkdCdPP
Excel Expert,Carpe Diem (Pakistan),Pakistan,,Easily apply,,https://pk.indeed.com/rc/clk?jk=2f2867f0e7164bcd&from=hp&tk=1j65aj39c25dv0lu&bb=q_lNc_pV4KQAYUGj2QlLTu_h4HA6Tk82cRownaEUMSZRzl8ZhkryToXI7MwO0-Kleh4FCDorroN_8OyQwCl8y08SsshP-Z-l90lpTtekeySVmiDC4kuepJXmCKKFiQrgzXCgOBIV9yQ%3D&xkcb=SoAI67M3sFdDr0zDUJ0LbzkdCdPP
Data Analyst,JMOJO UK,Karachi Federal B Area,"Rs 95,000 - Rs 150,000 a month",Easily apply,Full-time,https://pk.indeed.com/rc/clk?jk=f7134688183d5e1b&from=hp&tk=1j65aj4uuh85v800&bb=2AquMhlHz25CEITApG20d5jkbxU6FzT09ydQSL7WO1evh03ctYnAtYFt62uYEdLZAAm8AjLJUGIMgDL5_IKCr3x2_pHRNS4z-WM0QhaaIPif8gIy2rq82HmPzCAPKIoUwVdC52iRS-8%3D&xkcb=SoBo67M3sFdDcDz4yJ0ZbzkdCdPP
Data Analyst (Annotator),Cowlar Design Studio Pvt Ltd,Islamabad F-7 Markaz,"Rs 50,000 - Rs 80,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=894c2e664f15e9e1&from=hp&tk=1j65aj4uuh85v800&bb=2AquMhlHz26debcsb74GkO2QPuQMuBiAdLc8EFCdjWK4jYF7AtuC65B3Jqyc2gRNVmdK0F8bvhbNQ-L5Yi_zN40f7l7bcShytWKNjMfCAWDC-aRRmQFltt1tewWvlkn8WQwYhBmFNpk%3D&xkcb=SoAB67M3sFdDcCT4yJ0LbzkdCdPP
Junior Data Analyst,Raaziq International PVT LTD,Lahore,"Rs 50,000 - Rs 55,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=14d0ad928c875e0a&from=hp&tk=1j65aj4uuh85v800&bb=2AquMhlHz278twU3aI0n9xAs1fklr58GFzLn_Bwtv0ONXDzMxf9zXz7ch1exilPKG0cNUflfDQvVhGWPL5ertwxUG25k5EqYIP2uWY3OLafBIo3mM2FGWiLGvJf2Nt-NRGDV8eCLIyU%3D&xkcb=SoAS67M3sFdDcCT4yJ0PbzkdCdPP
Management Trainee - Data Science,Alpha Beta Core Solutions,Karachi,,Easily apply,,https://pk.indeed.com/rc/clk?jk=b0d8a2d07325c1e1&from=hp&tk=1j65aj4uuh85v800&bb=2AquMhlHz24iT8q72xva1GslyMdFjkbs-VrStDb_CW8xhWgZzccN6AFRnaxt5M-gTit_DhfjAd9kLgBmdslFcI-7qpISfNBcrAKVjjFLT-Ed9HSztGSbtljNldNNCoFTo2pUSTLCl-w%3D&xkcb=SoBm67M3sFdDcCT4yJ0DbzkdCdPP
Data Analyst (Night Shift),Level 3 BOS (PVT) Ltd,Karachi,,Easily apply,,https://pk.indeed.com/rc/clk?jk=a45eaa3b4273a1f3&from=hp&tk=1j65aj4uuh85v800&bb=2AquMhlHz24vONHLkQkIozZfA3aqmQ_Q2u_ftRWt3nYuRXlsSC3Mh05TW23EIikdrithULqUgHTttQb7N-_oGrn_5U10gvHzafMDUdtJgKuBy6A2kaKp4ozeuzc0CFdS_d7YGHDkHgs%3D&xkcb=SoB167M3sFdDcCT4yJ0HbzkdCdPP
